City,Locality,Property Type,BHK,Area (SqFt),Price (Lakhs),Price per SqFt (Lakhs),Furnishing,Property Age (Years),Nearby Schools,Nearby Hospitals,Parking,Security,Availability
Surat,Adajan,Apartment,2,3380,452.03,0.13,Furnished,22,10.0,3.0,No,Yes,Ready_to_Move
Ahmedabad,Satellite,Independent House,4,4531,411.69,0.09,Unfurnished,11,2.0,2.0,No,No,Under_Construction
Ahmedabad,Navrangpura,Villa,3,631,267.74,0.42,Furnished,26,5.0,9.0,No,No,Under_Construction
Ahmedabad,SG Highway,Villa,4,2419,82.82,0.03,Unfurnished,18,3.0,9.0,Yes,Yes,Under_Construction
Surat,Vesu,Apartment,2,3342,475.79,0.14,Furnished,3,2.0,2.0,Yes,Yes,Under_Construction
Surat,Pal,Apartment,3,1929,53.92,0.03,Semi-furnished,25,8.0,5.0,No,No,Ready_to_Move
Surat,Althan,Independent House,2,3287,146.81,0.04,Furnished,13,7.0,4.0,Yes,Yes,Under_Construction
Ahmedabad,Gota,Villa,3,1945,428.71,0.22,Unfurnished,28,3.0,7.0,Yes,Yes,Under_Construction
Ahmedabad,Satellite,Apartment,3,3569,48.82,0.01,Unfurnished,17,3.0,4.0,No,Yes,Ready_to_Move
Surat,Pal,Apartment,5,2126,316.93,0.15,Unfurnished,28,6.0,6.0,No,Yes,Ready_to_Move
Surat,Adajan,Villa,1,3625,38.32,0.01,Semi-furnished,10,6.0,7.0,Yes,Yes,Under_Construction
Surat,Pal,Apartment,2,1520,233.39,0.15,Furnished,28,2.0,5.0,No,Yes,Under_Construction
Surat,Vesu,Apartment,4,2316,391.74,0.17,Semi-furnished,25,2.0,7.0,Yes,No,Ready_to_Move
Ahmedabad,Bopal,Apartment,2,1781,100.65,0.06,Semi-furnished,22,9.0,7.0,Yes,No,Under_Construction
Ahmedabad,Satellite,Apartment,1,2157,420.84,0.2,Semi-furnished,22,1.0,5.0,No,No,Ready_to_Move
Surat,Althan,Independent House,4,1374,188.73,0.14,Unfurnished,24,1.0,7.0,Yes,Yes,Ready_to_Move
Ahmedabad,SG Highway,Apartment,3,2263,16.55,0.01,Furnished,35,8.0,9.0,Yes,Yes,Under_Construction
Surat,Pal,Villa,5,4324,217.77,0.05,Unfurnished,14,6.0,9.0,Yes,Yes,Under_Construction
Surat,Vesu,Independent House,4,4615,231.42,0.05,Semi-furnished,3,4.0,4.0,No,No,Ready_to_Move
Ahmedabad,SG Highway,Villa,3,2303,315.33,0.14,Unfurnished,15,4.0,1.0,No,No,Ready_to_Move
Surat,Piplod,Independent House,5,2971,343.02,0.12,Furnished,32,6.0,4.0,Yes,Yes,Ready_to_Move
Surat,Adajan,Independent House,2,3561,96.49,0.03,Unfurnished,26,1.0,9.0,Yes,Yes,Under_Construction
Surat,Pal,Independent House,3,4406,321.86,0.07,Unfurnished,18,5.0,4.0,No,Yes,Under_Construction
Surat,Vesu,Villa,4,4371,86.08,0.02,Furnished,7,2.0,7.0,No,No,Ready_to_Move
Surat,Adajan,Independent House,3,2230,154.44,0.07,Furnished,3,10.0,9.0,Yes,No,Ready_to_Move
Ahmedabad,Navrangpura,Villa,5,3200,53.92,0.02,Semi-furnished,26,4.0,8.0,No,No,Under_Construction
Ahmedabad,SG Highway,Villa,3,3787,402.02,0.11,Semi-furnished,27,3.0,3.0,No,No,Under_Construction
Ahmedabad,Bopal,Apartment,1,2383,207.03,0.09,Furnished,5,3.0,7.0,Yes,Yes,Under_Construction
Surat,Piplod,Independent House,5,841,104.94,0.12,Semi-furnished,15,3.0,2.0,No,No,Ready_to_Move
Surat,Althan,Villa,1,2992,343.78,0.11,Furnished,33,5.0,4.0,No,Yes,Under_Construction
Surat,Pal,Independent House,3,1180,138.33,0.12,Furnished,21,3.0,7.0,No,Yes,Ready_to_Move
Ahmedabad,Navrangpura,Apartment,2,2350,211.07,0.09,Furnished,25,6.0,10.0,Yes,Yes,Under_Construction
Ahmedabad,Gota,Independent House,5,2956,195.07,0.07,Semi-furnished,31,9.0,1.0,No,No,Ready_to_Move
Ahmedabad,Gota,Independent House,1,4122,19.99,0.0,Furnished,12,10.0,9.0,No,Yes,Ready_to_Move
Ahmedabad,Bopal,Villa,1,907,263.68,0.29,Unfurnished,9,8.0,1.0,No,No,Ready_to_Move
Surat,Pal,Independent House,2,3410,186.6,0.05,Unfurnished,31,4.0,8.0,No,No,Under_Construction
Ahmedabad,Gota,Independent House,4,1825,333.6,0.18,Unfurnished,15,6.0,7.0,Yes,No,Under_Construction
Surat,Piplod,Independent House,3,3158,380.43,0.12,Furnished,8,5.0,7.0,No,Yes,Ready_to_Move
Ahmedabad,SG Highway,Independent House,3,4805,312.97,0.07,Furnished,34,10.0,8.0,No,Yes,Under_Construction
Ahmedabad,Gota,Independent House,5,1417,37.83,0.03,Furnished,5,7.0,8.0,No,Yes,Ready_to_Move
Surat,Althan,Independent House,1,4961,177.23,0.04,Furnished,21,2.0,7.0,No,Yes,Ready_to_Move
Surat,Pal,Independent House,1,4448,263.98,0.06,Semi-furnished,28,1.0,3.0,Yes,No,Ready_to_Move
Ahmedabad,Bopal,Villa,5,4463,26.26,0.01,Furnished,22,7.0,1.0,Yes,Yes,Under_Construction
Ahmedabad,SG Highway,Independent House,5,714,237.25,0.33,Furnished,22,10.0,1.0,No,No,Under_Construction
Ahmedabad,Satellite,Villa,3,598,489.68,0.82,Furnished,22,4.0,7.0,Yes,Yes,Under_Construction
Ahmedabad,Bopal,Apartment,5,1774,57.12,0.03,Furnished,2,1.0,8.0,Yes,No,Under_Construction
Ahmedabad,Bopal,Apartment,4,3772,444.71,0.12,Furnished,8,10.0,9.0,No,Yes,Under_Construction
Surat,Adajan,Villa,1,4613,140.69,0.03,Furnished,16,9.0,2.0,Yes,No,Under_Construction
Ahmedabad,Navrangpura,Independent House,2,1918,59.52,0.03,Unfurnished,28,2.0,2.0,No,Yes,Ready_to_Move
Ahmedabad,Gota,Apartment,1,1934,499.39,0.26,Unfurnished,7,7.0,1.0,Yes,Yes,Ready_to_Move
Ahmedabad,SG Highway,Villa,5,1608,494.99,0.31,Furnished,17,4.0,5.0,Yes,No,Ready_to_Move
Surat,Vesu,Independent House,3,3019,465.07,0.15,Furnished,18,7.0,4.0,Yes,Yes,Under_Construction
Ahmedabad,Gota,Apartment,3,2525,232.75,0.09,Semi-furnished,29,9.0,8.0,Yes,No,Under_Construction
Ahmedabad,Gota,Villa,1,2471,475.01,0.19,Unfurnished,22,2.0,2.0,No,No,Under_Construction
Ahmedabad,Gota,Apartment,1,4656,130.92,0.03,Furnished,5,9.0,10.0,No,Yes,Under_Construction
Surat,Adajan,Apartment,4,1065,130.57,0.12,Unfurnished,24,5.0,6.0,No,No,Ready_to_Move
Ahmedabad,Gota,Independent House,4,4418,412.9,0.09,Semi-furnished,4,4.0,2.0,No,No,Ready_to_Move
Surat,Piplod,Independent House,1,2704,56.06,0.02,Furnished,15,7.0,5.0,No,No,Under_Construction
Surat,Althan,Apartment,4,2529,147.7,0.06,Furnished,30,10.0,9.0,No,No,Ready_to_Move
Surat,Adajan,Independent House,2,4957,134.2,0.03,Furnished,21,4.0,2.0,Yes,Yes,Under_Construction
Ahmedabad,Satellite,Villa,2,4458,253.23,0.06,Unfurnished,9,8.0,10.0,No,No,Ready_to_Move
Ahmedabad,Navrangpura,Independent House,3,2547,198.41,0.08,Semi-furnished,21,1.0,1.0,No,No,Under_Construction
Surat,Piplod,Independent House,4,1551,176.57,0.11,Furnished,28,10.0,10.0,Yes,Yes,Ready_to_Move
Ahmedabad,Bopal,Villa,3,1024,407.83,0.4,Furnished,13,7.0,4.0,Yes,Yes,Ready_to_Move
Surat,Vesu,Villa,5,2917,53.98,0.02,Unfurnished,7,7.0,2.0,Yes,No,Ready_to_Move
Ahmedabad,Satellite,Villa,1,2782,85.77,0.03,Furnished,3,4.0,5.0,Yes,No,Under_Construction
Ahmedabad,SG Highway,Villa,3,1998,451.1,0.23,Semi-furnished,14,1.0,9.0,Yes,Yes,Ready_to_Move
Surat,Piplod,Apartment,3,3289,273.5,0.08,Unfurnished,34,2.0,5.0,No,Yes,Ready_to_Move
Ahmedabad,Navrangpura,Independent House,2,1152,431.67,0.37,Semi-furnished,34,7.0,3.0,No,No,Ready_to_Move
Ahmedabad,Navrangpura,Apartment,5,3656,148.33,0.04,Semi-furnished,14,1.0,10.0,Yes,No,Under_Construction
Surat,Vesu,Apartment,4,3691,377.33,0.1,Semi-furnished,16,1.0,1.0,No,No,Ready_to_Move
Ahmedabad,Satellite,Independent House,2,4323,319.62,0.07,Unfurnished,34,9.0,1.0,Yes,No,Under_Construction
Surat,Althan,Apartment,3,2143,327.54,0.15,Furnished,15,3.0,9.0,Yes,No,Ready_to_Move
Ahmedabad,Navrangpura,Apartment,3,4952,310.04,0.06,Unfurnished,33,9.0,3.0,No,Yes,Under_Construction
Ahmedabad,Gota,Villa,4,1542,319.56,0.21,Semi-furnished,16,8.0,1.0,No,No,Ready_to_Move
Ahmedabad,Gota,Apartment,2,3260,476.15,0.15,Unfurnished,24,1.0,5.0,Yes,Yes,Ready_to_Move
Ahmedabad,Navrangpura,Apartment,1,2658,256.99,0.1,Unfurnished,3,1.0,8.0,No,Yes,Ready_to_Move
Ahmedabad,Gota,Apartment,4,3346,299.1,0.09,Unfurnished,22,9.0,3.0,No,Yes,Ready_to_Move
Surat,Vesu,Independent House,2,1107,317.05,0.29,Unfurnished,5,4.0,3.0,Yes,No,Under_Construction
Surat,Piplod,Apartment,4,4177,340.8,0.08,Furnished,15,5.0,9.0,Yes,No,Under_Construction
Ahmedabad,Gota,Villa,1,1076,55.7,0.05,Unfurnished,8,8.0,8.0,No,Yes,Ready_to_Move
Surat,Adajan,Villa,1,1992,286.49,0.14,Furnished,10,5.0,4.0,Yes,No,Under_Construction
Surat,Vesu,Apartment,3,943,25.94,0.03,Semi-furnished,3,9.0,5.0,Yes,Yes,Under_Construction
Ahmedabad,Gota,Apartment,1,3036,128.74,0.04,Semi-furnished,26,10.0,1.0,Yes,Yes,Ready_to_Move
Ahmedabad,Gota,Independent House,2,1388,90.96,0.07,Semi-furnished,32,2.0,4.0,Yes,Yes,Ready_to_Move
Surat,Pal,Villa,1,3612,130.89,0.04,Semi-furnished,31,7.0,8.0,Yes,Yes,Ready_to_Move
Surat,Vesu,Apartment,3,1411,417.19,0.3,Furnished,21,2.0,9.0,No,No,Ready_to_Move
Surat,Adajan,Independent House,3,3884,60.54,0.02,Unfurnished,31,4.0,8.0,No,Yes,Ready_to_Move
Surat,Adajan,Apartment,3,2929,279.36,0.1,Furnished,29,5.0,8.0,Yes,No,Ready_to_Move
Surat,Adajan,Apartment,1,1206,385.92,0.32,Unfurnished,8,6.0,4.0,No,Yes,Ready_to_Move
Ahmedabad,SG Highway,Villa,1,1272,143.89,0.11,Furnished,6,10.0,1.0,Yes,Yes,Ready_to_Move
Ahmedabad,Satellite,Villa,2,683,307.74,0.45,Unfurnished,3,1.0,2.0,Yes,Yes,Ready_to_Move
Surat,Althan,Independent House,1,3342,350.35,0.1,Unfurnished,4,3.0,2.0,Yes,Yes,Under_Construction
Surat,Pal,Independent House,4,4806,16.85,0.0,Unfurnished,28,10.0,1.0,Yes,Yes,Under_Construction
Surat,Adajan,Independent House,3,1946,91.27,0.05,Unfurnished,20,9.0,2.0,Yes,No,Under_Construction
Ahmedabad,Satellite,Villa,2,1631,21.26,0.01,Unfurnished,20,1.0,7.0,Yes,No,Ready_to_Move
Surat,Piplod,Villa,3,4740,222.38,0.05,Furnished,12,4.0,9.0,Yes,Yes,Under_Construction
Surat,Pal,Villa,1,2903,411.27,0.14,Semi-furnished,20,1.0,7.0,Yes,No,Under_Construction
Ahmedabad,Navrangpura,Villa,2,2505,113.31,0.05,Semi-furnished,22,7.0,8.0,No,Yes,Ready_to_Move
Surat,Adajan,Villa,4,4858,366.37,0.08,Unfurnished,16,2.0,1.0,Yes,No,Ready_to_Move
Surat,Piplod,Independent House,5,2165,411.99,0.19,Unfurnished,23,2.0,1.0,No,Yes,Ready_to_Move
Ahmedabad,Navrangpura,Villa,4,4991,238.96,0.05,Furnished,32,9.0,8.0,Yes,No,Ready_to_Move
Ahmedabad,Gota,Villa,2,4341,22.65,0.01,Furnished,29,7.0,6.0,Yes,No,Ready_to_Move
Ahmedabad,Satellite,Villa,3,2085,468.3,0.22,Unfurnished,9,4.0,10.0,No,Yes,Ready_to_Move
Ahmedabad,Navrangpura,Independent House,2,1346,171.78,0.13,Unfurnished,16,6.0,9.0,Yes,No,Under_Construction
Surat,Pal,Villa,1,2960,335.17,0.11,Semi-furnished,10,9.0,3.0,Yes,No,Under_Construction
Ahmedabad,SG Highway,Apartment,2,4344,195.53,0.05,Furnished,20,8.0,2.0,No,Yes,Ready_to_Move
Surat,Adajan,Independent House,5,586,483.98,0.83,Semi-furnished,28,9.0,4.0,Yes,No,Ready_to_Move
Ahmedabad,Satellite,Apartment,3,2751,133.75,0.05,Unfurnished,24,1.0,6.0,No,No,Under_Construction
Surat,Vesu,Apartment,5,3550,182.64,0.05,Semi-furnished,21,1.0,9.0,Yes,No,Under_Construction
Surat,Pal,Independent House,5,2109,358.59,0.17,Furnished,26,1.0,5.0,Yes,No,Under_Construction
Surat,Adajan,Villa,4,3430,228.85,0.07,Unfurnished,12,9.0,10.0,No,No,Under_Construction
Surat,Piplod,Independent House,3,832,333.58,0.4,Furnished,5,6.0,2.0,Yes,No,Under_Construction
Ahmedabad,Navrangpura,Villa,1,1496,481.37,0.32,Semi-furnished,12,4.0,5.0,Yes,No,Under_Construction
Surat,Vesu,Villa,2,2443,455.25,0.19,Semi-furnished,32,5.0,6.0,Yes,Yes,Under_Construction
Surat,Adajan,Apartment,5,907,144.88,0.16,Furnished,16,6.0,3.0,Yes,No,Ready_to_Move
Surat,Vesu,Villa,3,2615,103.05,0.04,Furnished,3,5.0,10.0,Yes,Yes,Ready_to_Move
Surat,Pal,Apartment,4,3683,344.87,0.09,Furnished,14,3.0,8.0,Yes,No,Ready_to_Move
Surat,Adajan,Independent House,2,1871,447.36,0.24,Furnished,35,2.0,1.0,No,Yes,Under_Construction
Surat,Vesu,Independent House,1,724,201.36,0.28,Furnished,14,1.0,6.0,No,Yes,Ready_to_Move
Surat,Vesu,Independent House,2,3384,227.05,0.07,Furnished,5,6.0,9.0,Yes,Yes,Ready_to_Move
Ahmedabad,Satellite,Independent House,3,1419,163.94,0.12,Semi-furnished,21,5.0,6.0,No,Yes,Under_Construction
Surat,Piplod,Independent House,3,560,143.09,0.26,Semi-furnished,16,9.0,4.0,No,Yes,Under_Construction
Ahmedabad,Bopal,Apartment,1,2978,374.21,0.13,Semi-furnished,14,6.0,2.0,No,No,Ready_to_Move
Surat,Adajan,Apartment,5,1578,466.74,0.3,Unfurnished,30,7.0,3.0,Yes,No,Ready_to_Move
Ahmedabad,Gota,Apartment,4,1006,304.94,0.3,Semi-furnished,5,10.0,6.0,No,No,Under_Construction
Ahmedabad,Gota,Independent House,4,1424,478.89,0.34,Furnished,32,4.0,9.0,Yes,No,Under_Construction
Ahmedabad,Gota,Independent House,1,4341,397.52,0.09,Furnished,16,4.0,8.0,Yes,No,Under_Construction
Surat,Althan,Apartment,1,1088,364.66,0.34,Semi-furnished,26,6.0,4.0,Yes,No,Ready_to_Move
Surat,Piplod,Apartment,2,4761,450.93,0.09,Unfurnished,9,8.0,4.0,No,Yes,Ready_to_Move
Ahmedabad,Satellite,Independent House,2,4686,155.96,0.03,Semi-furnished,23,2.0,9.0,Yes,Yes,Ready_to_Move
Surat,Pal,Villa,5,1999,446.3,0.22,Furnished,26,7.0,8.0,Yes,No,Ready_to_Move
Surat,Althan,Apartment,2,2753,491.12,0.18,Unfurnished,30,2.0,7.0,Yes,Yes,Ready_to_Move
Ahmedabad,SG Highway,Villa,2,4160,146.23,0.04,Furnished,26,10.0,1.0,Yes,Yes,Under_Construction
Surat,Pal,Villa,3,667,459.87,0.69,Semi-furnished,14,4.0,5.0,Yes,Yes,Ready_to_Move
Surat,Adajan,Apartment,3,3425,326.19,0.1,Unfurnished,26,7.0,10.0,Yes,Yes,Under_Construction
Surat,Althan,Independent House,4,2508,102.72,0.04,Furnished,5,5.0,7.0,Yes,No,Ready_to_Move
Ahmedabad,Gota,Independent House,4,2874,14.55,0.01,Unfurnished,2,1.0,9.0,Yes,Yes,Ready_to_Move
Ahmedabad,Satellite,Independent House,3,4606,107.08,0.02,Semi-furnished,27,7.0,9.0,No,No,Under_Construction
Surat,Vesu,Apartment,4,2206,418.31,0.19,Unfurnished,32,10.0,1.0,Yes,No,Ready_to_Move
Surat,Pal,Apartment,4,3860,39.81,0.01,Semi-furnished,15,5.0,4.0,Yes,Yes,Under_Construction
Ahmedabad,Gota,Apartment,4,4047,125.83,0.03,Semi-furnished,4,6.0,8.0,No,No,Ready_to_Move
Surat,Vesu,Villa,3,4462,62.44,0.01,Furnished,9,6.0,3.0,No,No,Under_Construction
Ahmedabad,Navrangpura,Villa,1,1752,350.02,0.2,Furnished,3,7.0,10.0,Yes,Yes,Under_Construction
Ahmedabad,Bopal,Independent House,5,4416,119.22,0.03,Furnished,5,1.0,5.0,No,No,Ready_to_Move
Ahmedabad,Satellite,Villa,1,1888,283.91,0.15,Unfurnished,18,1.0,10.0,Yes,Yes,Under_Construction
Ahmedabad,Bopal,Independent House,1,1705,419.85,0.25,Unfurnished,10,6.0,2.0,Yes,No,Under_Construction
Ahmedabad,Bopal,Independent House,2,4366,77.4,0.02,Semi-furnished,28,10.0,3.0,No,Yes,Under_Construction
Ahmedabad,Satellite,Villa,1,2281,158.35,0.07,Unfurnished,8,7.0,1.0,No,No,Ready_to_Move
Surat,Pal,Apartment,5,2657,54.76,0.02,Unfurnished,27,4.0,1.0,Yes,No,Ready_to_Move
Surat,Althan,Apartment,4,3977,318.79,0.08,Unfurnished,4,6.0,3.0,Yes,No,Ready_to_Move
Ahmedabad,Bopal,Apartment,4,855,163.0,0.19,Furnished,15,10.0,9.0,Yes,No,Under_Construction
Ahmedabad,Navrangpura,Apartment,5,732,118.76,0.16,Furnished,2,2.0,9.0,Yes,No,Under_Construction
Surat,Althan,Independent House,3,2841,250.38,0.09,Unfurnished,28,10.0,6.0,Yes,Yes,Ready_to_Move
Surat,Pal,Villa,2,4933,424.36,0.09,Furnished,30,1.0,10.0,Yes,Yes,Under_Construction
Ahmedabad,Navrangpura,Independent House,5,2681,34.27,0.01,Furnished,31,3.0,9.0,No,Yes,Ready_to_Move
Surat,Adajan,Independent House,1,2708,250.01,0.09,Unfurnished,7,4.0,6.0,Yes,No,Under_Construction
Surat,Adajan,Independent House,1,4868,46.0,0.01,Unfurnished,20,5.0,7.0,No,No,Under_Construction
Ahmedabad,Gota,Apartment,5,1941,249.69,0.13,Furnished,19,4.0,1.0,No,Yes,Under_Construction
Surat,Althan,Independent House,4,2807,389.45,0.14,Unfurnished,28,2.0,4.0,Yes,Yes,Ready_to_Move
Surat,Piplod,Villa,1,1214,56.95,0.05,Semi-furnished,23,5.0,7.0,Yes,Yes,Under_Construction
Ahmedabad,Gota,Independent House,2,4641,485.18,0.1,Unfurnished,12,10.0,5.0,Yes,No,Under_Construction
Ahmedabad,Navrangpura,Villa,2,3555,409.48,0.12,Unfurnished,23,3.0,8.0,Yes,No,Under_Construction
Ahmedabad,Bopal,Apartment,4,2033,277.84,0.14,Furnished,13,4.0,6.0,Yes,No,Under_Construction
Ahmedabad,Gota,Apartment,2,3458,250.77,0.07,Furnished,3,7.0,3.0,Yes,No,Ready_to_Move
Ahmedabad,Navrangpura,Villa,5,4272,41.27,0.01,Furnished,21,6.0,1.0,No,Yes,Ready_to_Move
Surat,Adajan,Independent House,2,1146,52.99,0.05,Furnished,11,10.0,4.0,No,Yes,Under_Construction
Surat,Althan,Apartment,1,2905,346.43,0.12,Unfurnished,26,4.0,3.0,No,No,Under_Construction
Ahmedabad,Gota,Apartment,3,3996,391.33,0.1,Furnished,31,7.0,8.0,Yes,Yes,Ready_to_Move
Ahmedabad,Gota,Villa,1,3653,67.26,0.02,Furnished,20,8.0,9.0,No,No,Ready_to_Move
Ahmedabad,Bopal,Apartment,1,1306,321.01,0.25,Semi-furnished,3,9.0,7.0,No,Yes,Ready_to_Move
Surat,Adajan,Villa,1,1095,229.54,0.21,Semi-furnished,27,9.0,1.0,No,No,Under_Construction
Ahmedabad,SG Highway,Villa,3,3559,330.66,0.09,Semi-furnished,20,3.0,6.0,Yes,No,Under_Construction
Ahmedabad,Gota,Apartment,1,1653,57.03,0.03,Semi-furnished,8,2.0,3.0,Yes,Yes,Ready_to_Move
Ahmedabad,Gota,Independent House,4,4309,283.24,0.07,Unfurnished,34,8.0,5.0,No,No,Under_Construction
Ahmedabad,Bopal,Villa,1,3229,132.09,0.04,Unfurnished,18,3.0,1.0,No,No,Under_Construction
Ahmedabad,Bopal,Villa,1,4088,16.39,0.0,Semi-furnished,8,8.0,3.0,No,Yes,Ready_to_Move
Ahmedabad,Satellite,Independent House,2,4664,12.42,0.0,Furnished,28,3.0,3.0,Yes,Yes,Under_Construction
Surat,Adajan,Apartment,5,4999,206.6,0.04,Semi-furnished,8,9.0,5.0,Yes,Yes,Ready_to_Move
Ahmedabad,Navrangpura,Villa,5,2311,48.62,0.02,Unfurnished,29,6.0,7.0,No,Yes,Under_Construction
Ahmedabad,Navrangpura,Independent House,3,4433,202.14,0.05,Semi-furnished,12,1.0,3.0,No,No,Ready_to_Move
Surat,Piplod,Villa,3,4106,490.17,0.12,Unfurnished,10,8.0,1.0,No,No,Ready_to_Move
Surat,Adajan,Independent House,4,3491,383.03,0.11,Semi-furnished,19,1.0,3.0,No,Yes,Under_Construction
Surat,Vesu,Apartment,5,2985,166.82,0.06,Unfurnished,22,2.0,10.0,No,No,Ready_to_Move
Surat,Vesu,Independent House,1,2359,93.4,0.04,Furnished,18,3.0,10.0,No,No,Ready_to_Move
Ahmedabad,Bopal,Villa,5,1247,494.55,0.4,Furnished,20,7.0,3.0,Yes,No,Under_Construction
Ahmedabad,Navrangpura,Apartment,5,1158,317.14,0.27,Semi-furnished,29,4.0,9.0,No,No,Under_Construction
Surat,Vesu,Apartment,3,1517,463.54,0.31,Unfurnished,21,4.0,7.0,Yes,Yes,Under_Construction
Ahmedabad,SG Highway,Independent House,2,4252,221.32,0.05,Semi-furnished,11,10.0,7.0,No,No,Under_Construction
Surat,Pal,Apartment,4,3990,115.53,0.03,Unfurnished,19,7.0,9.0,Yes,Yes,Ready_to_Move
Ahmedabad,Bopal,Villa,5,3109,441.38,0.14,Semi-furnished,13,8.0,1.0,Yes,No,Under_Construction
Ahmedabad,Gota,Villa,1,3785,195.29,0.05,Semi-furnished,10,6.0,4.0,Yes,Yes,Ready_to_Move
Surat,Adajan,Villa,2,1188,86.86,0.07,Unfurnished,20,2.0,5.0,No,No,Ready_to_Move
Ahmedabad,SG Highway,Villa,2,1742,231.54,0.13,Furnished,12,6.0,3.0,No,No,Ready_to_Move
Ahmedabad,Navrangpura,Apartment,3,1632,61.65,0.04,Furnished,30,2.0,5.0,Yes,Yes,Under_Construction
Surat,Vesu,Apartment,1,4749,74.25,0.02,Unfurnished,28,6.0,10.0,Yes,No,Ready_to_Move
Ahmedabad,Navrangpura,Villa,2,4696,298.94,0.06,Unfurnished,24,5.0,2.0,Yes,Yes,Under_Construction
Surat,Pal,Villa,1,3089,370.06,0.12,Unfurnished,3,1.0,1.0,No,Yes,Under_Construction
Ahmedabad,Navrangpura,Independent House,2,1130,397.9,0.35,Unfurnished,27,6.0,4.0,Yes,No,Ready_to_Move
Surat,Piplod,Villa,3,4088,243.29,0.06,Semi-furnished,14,5.0,10.0,Yes,No,Ready_to_Move
Surat,Althan,Independent House,5,1855,345.38,0.19,Unfurnished,2,5.0,4.0,Yes,Yes,Under_Construction
Surat,Vesu,Apartment,3,1933,246.73,0.13,Semi-furnished,26,2.0,5.0,No,No,Ready_to_Move
Surat,Pal,Villa,5,4015,23.02,0.01,Semi-furnished,24,3.0,8.0,Yes,No,Under_Construction
Surat,Adajan,Apartment,1,742,211.82,0.29,Furnished,28,9.0,2.0,No,Yes,Ready_to_Move
Ahmedabad,SG Highway,Independent House,5,3238,400.79,0.12,Unfurnished,12,7.0,4.0,No,Yes,Ready_to_Move
Surat,Vesu,Villa,5,4556,98.71,0.02,Furnished,28,1.0,4.0,No,No,Under_Construction
Surat,Vesu,Apartment,3,2400,37.91,0.02,Unfurnished,26,6.0,4.0,Yes,No,Ready_to_Move
Ahmedabad,Bopal,Villa,4,4986,95.4,0.02,Unfurnished,30,9.0,10.0,Yes,Yes,Ready_to_Move
Surat,Adajan,Apartment,3,883,60.67,0.07,Unfurnished,10,7.0,1.0,No,Yes,Ready_to_Move
Ahmedabad,SG Highway,Independent House,3,3735,190.95,0.05,Furnished,27,4.0,1.0,No,No,Ready_to_Move
Surat,Piplod,Villa,5,1102,11.04,0.01,Unfurnished,19,9.0,4.0,Yes,Yes,Under_Construction
Surat,Althan,Villa,3,3412,16.41,0.0,Unfurnished,12,3.0,9.0,Yes,No,Under_Construction
Surat,Althan,Apartment,4,4893,308.83,0.06,Unfurnished,13,7.0,8.0,No,No,Ready_to_Move
Ahmedabad,Navrangpura,Villa,1,4151,425.8,0.1,Unfurnished,8,3.0,9.0,No,No,Under_Construction
Ahmedabad,Bopal,Villa,1,3375,187.27,0.06,Unfurnished,11,1.0,9.0,No,No,Ready_to_Move
Ahmedabad,SG Highway,Villa,1,4183,209.65,0.05,Semi-furnished,8,4.0,5.0,Yes,No,Under_Construction
Surat,Pal,Villa,2,3168,468.22,0.15,Furnished,9,9.0,4.0,Yes,Yes,Under_Construction
Ahmedabad,Navrangpura,Apartment,3,2888,44.68,0.02,Semi-furnished,13,7.0,5.0,No,No,Ready_to_Move
Surat,Pal,Apartment,2,3847,104.99,0.03,Furnished,22,3.0,7.0,No,No,Under_Construction
Ahmedabad,SG Highway,Villa,4,1060,272.55,0.26,Furnished,32,3.0,1.0,No,Yes,Ready_to_Move
Surat,Adajan,Independent House,1,946,146.42,0.15,Furnished,34,10.0,2.0,No,Yes,Under_Construction
Surat,Althan,Apartment,4,2808,14.12,0.01,Semi-furnished,23,5.0,10.0,No,Yes,Under_Construction
Surat,Vesu,Apartment,2,1159,411.46,0.36,Unfurnished,30,10.0,4.0,No,Yes,Under_Construction
Ahmedabad,Navrangpura,Apartment,1,1522,131.02,0.09,Furnished,24,10.0,4.0,Yes,Yes,Under_Construction
Ahmedabad,Satellite,Independent House,1,1084,19.68,0.02,Furnished,26,9.0,1.0,Yes,Yes,Ready_to_Move
Surat,Piplod,Apartment,5,2926,399.13,0.14,Unfurnished,8,5.0,2.0,No,Yes,Ready_to_Move
Surat,Pal,Independent House,2,3590,415.68,0.12,Unfurnished,23,2.0,10.0,No,Yes,Under_Construction
Surat,Pal,Apartment,4,4508,128.78,0.03,Semi-furnished,13,9.0,9.0,Yes,Yes,Ready_to_Move
Ahmedabad,Gota,Apartment,5,3900,273.55,0.07,Unfurnished,5,6.0,3.0,No,Yes,Ready_to_Move
Surat,Pal,Apartment,2,1451,389.14,0.27,Semi-furnished,11,6.0,8.0,Yes,No,Under_Construction
Surat,Adajan,Villa,3,2476,345.95,0.14,Unfurnished,8,2.0,5.0,No,Yes,Ready_to_Move
Surat,Althan,Villa,5,719,172.94,0.24,Furnished,32,1.0,9.0,No,Yes,Under_Construction
Surat,Piplod,Apartment,4,1204,326.9,0.27,Semi-furnished,25,5.0,1.0,No,Yes,Under_Construction
Ahmedabad,Navrangpura,Villa,2,2176,379.36,0.17,Furnished,22,5.0,6.0,No,No,Under_Construction
Ahmedabad,SG Highway,Independent House,1,1560,298.53,0.19,Furnished,8,9.0,2.0,No,No,Ready_to_Move
